bedrooms,listing_count,median_price_million_vnd,median_price_per_m2
1.0,1484,7900.0,85.0
2.0,7262,4580.0,91.57464788732395
3.0,12016,6200.0,129.75595238095238
4.0,11531,8000.0,152.6315789473684
5.0,4045,10890.0,169.11764705882354
6.0,3131,13500.0,204.54545454545453
7.0,846,12495.0,173.2051282051282
8.0,1004,16500.0,214.96212121212122
9.0,446,14000.0,218.62348178137654
10.0,726,18000.0,232.3803851498908
